Day,State,Region,EV,Dem,GOP,Date,Pollster
275.5,Alabama,South,9,37,57,3-Oct,Auburn U. at Montgomery-4
210.5,Alabama,South,9,36,58,2-Aug,Morning Consult-10
187.5,Alabama,South,9,41,55,9-Jul,Auburn U. at Montgomery-8
36,Alabama,South,9,38,58,6-Feb,Mason-Dixon-3
273.5,Alaska,West,3,46,50,4-Oct,Alaska Survey Research-10
205.5,Alaska,West,3,44,50,24-Jul,PPP-2
189.5,Alaska,West,3,45,48,8-Jul,PPP-2
182,Alaska,West,3,48,49,7-Jul,Alaska Survey Research-15
284.5,Arizona,West,11,50,46,14-Oct,Ipsos-8
280.5,Arizona,West,11,49,46,11-Oct,Morning Consult-10
279.5,Arizona,West,11,49,43,7-Oct,Redfield and Wilton Strategies-4
277,Arizona,West,11,48,46,7-Oct,Ipsos-9
276,Arizona,West,11,49,41,3-Oct,Siena Coll.-3
276,Arizona,West,11,48,45,6-Oct,Latino Decisions-9
275.5,Arizona,West,11,46,45,5-Oct,High Ground Inc.-8
272,Arizona,West,11,50,46,30-Sep,Suffolk U.-5
270.5,Arizona,West,11,49,45,29-Sep,Strategies 360-6
268.5,Arizona,West,11,47,44,26-Sep,Redfield and Wilton Strategies-4
261.5,Arizona,West,11,48,49,20-Sep,Langer Research-6
258,Arizona,West,11,47,42,16-Sep,Redfield and Wilton Strategies-5
258,Arizona,West,11,47,46,17-Sep,Ipsos-7
257,Arizona,West,11,48,46,15-Sep,Monmouth U.-5
256.5,Arizona,West,11,49,40,15-Sep,Siena Coll.-6
254,Arizona,West,11,47,44,11-Sep,YouGov-3
253,Arizona,West,11,52,42,10-Sep,OH Predictive Insights-3
249.5,Arizona,West,11,45,40,13-Sep,Kaiser/Cook-16
246.5,Arizona,West,11,48,47,8-Sep,Benenson Strategy/GS Strategy-12
245.5,Arizona,West,11,48,43,4-Sep,Redfield and Wilton Strategies-6
243.5,Arizona,West,11,49,40,1-Sep,Fox News-4
238.5,Arizona,West,11,52,42,30-Aug,Morning Consult-10
230,Arizona,West,11,47,38,18-Aug,Redfield and Wilton Strategies-3
222,Arizona,West,11,53,47,10-Aug,Emerson Coll.-3
216.5,Arizona,West,11,49,45,4-Aug,OH Predictive Insights-2
203.5,Arizona,West,11,49,42,26-Jul,Morning Consult-10
203,Arizona,West,11,46,38,23-Jul,Redfield and Wilton Strategies-5
203,Arizona,West,11,49,45,24-Jul,SSRS-7
200,Arizona,West,11,50,45,22-Jul,Marist Coll.-9
199.5,Arizona,West,11,49,45,18-Jul,PPP-2
190.5,Arizona,West,11,46,46,10-Jul,YouGov-4
188.5,Arizona,West,11,49,44,7-Jul,OH Predictive Insights-2
167.5,Arizona,West,11,43,39,17-Jun,Redfield and Wilton Strategies-4
166,Arizona,West,11,49,45,15-Jun,Civiqs-3
164,Arizona,West,11,48,41,16-Jun,Siena Coll.-9
152.5,Arizona,West,11,46,42,2-Jun,Fox News-4
141,Arizona,West,11,47,45,22-May,High Ground Inc.-5
133,Arizona,West,11,45,41,14-May,Redfield and Wilton Strategies-5
131,Arizona,West,11,50,43,11-May,OH Predictive Insights-3
98.5,Arizona,West,11,52,43,8-Apr,OH Predictive Insights-2
72.5,Arizona,West,11,46,43,14-Mar,Monmouth U.-4
72.5,Arizona,West,11,47,46,15-Mar,Marist Coll.-6
68.5,Arizona,West,11,50,42,11-Mar,Latino Decisions-6
63.5,Arizona,West,11,49,43,4-Mar,OH Predictive Insights-2
62.5,Arizona,West,11,48,47,3-Mar,PPP-2
44,Arizona,West,11,42,46,15-Feb,Climate Nexus-5
3,Arizona,West,11,46,46,4-Jan,PPP-3
161.5,Arkansas,South,6,45,47,10-Jun,Hendrix Coll.-2
271,California,West,55,59,32,28-Sep,SurveyUSA-3
264,California,West,55,62,28,21-Sep,Redfield and Wilton Strategies-3
256,California,West,55,67,28,15-Sep,U. of Calif. at Berkeley-7
252.5,California,West,55,60,31,13-Sep,Public Policy Inst. of Calif.-10
225,California,West,55,56,28,12-Aug,SurveyUSA-1
222,California,West,55,61,25,9-Aug,Redfield and Wilton Strategies-1
206,California,West,55,67,28,27-Jul,U.C. Berkeley-7
142.5,California,West,55,57,33,26-May,Public Policy Inst. of Calif.-10
139.5,California,West,55,58,30,19-May,SurveyUSA-2
129.5,California,West,55,65,35,9-May,Emerson Coll.-2
88.5,California,West,55,67,29,29-Mar,PPP-2
58.5,California,West,55,62,26,2-Mar,AtlasIntel-8
58,California,West,55,59,31,28-Feb,YouGov-3
55,California,West,55,60,35,26-Feb,SSRS-5
53.5,California,West,55,58,31,25-Feb,U. of California-6
45.5,California,West,55,57,37,16-Feb,SurveyUSA-4
39,California,West,55,60,30,15-Feb,YouGov-15
15,California,West,55,59,35,16-Jan,SurveyUSA-3
280.5,Colorado,West,9,54,40,11-Oct,Morning Consult-10
277.5,Colorado,West,9,50,40,6-Oct,SurveyUSA-6
246,Colorado,West,9,50,40,5-Sep,Fabrizio Ward/Hart Research-7
238.5,Colorado,West,9,51,41,30-Aug,Morning Consult-10
205.5,Colorado,West,9,54,41,24-Jul,PPP-2
203.5,Colorado,West,9,52,39,26-Jul,Morning Consult-10
181.5,Colorado,West,9,56,39,30-Jun,PPP-2
130,Colorado,West,9,53,40,11-May,Global Strategy-5
105.5,Colorado,West,9,53,35,19-Apr,Montana State U.-10
48,Colorado,West,9,46,43,19-Feb,Climate Nexus-5
142.5,Connecticut,North East,7,52,32,24-May,SurveyUSA-6
123,Connecticut,North East,7,56,33,4-May,Quinnipiac U.-5
89,Connecticut,North East,7,47,34,3-Apr,Sacred Heart U.-11
63.5,Connecticut,North East,7,52,36,12-Mar,Sacred Heart U.-18
2,D.C.,South,3,93,4,2-Jan,Election 2016-1
268,Delaware,South,3,54,33,27-Sep,U. of Delaware-7
234.5,Delaware,South,3,58,37,22-Aug,PPP-2
17.5,Delaware,South,3,56,40,19-Jan,Gonzales Research-4
285.5,Florida,South,29,49,47,12-Oct,St. Pete polls-2
285,Florida,South,29,51,48,12-Oct,Emerson Coll.-3
284.5,Florida,South,29,49,47,14-Oct,Ipsos-8
284,Florida,South,29,51,47,11-Oct,Florida Atlantic U.-3
283.5,Florida,South,29,47,40,12-Oct,Clearview Research-6
280.5,Florida,South,29,51,46,11-Oct,Morning Consult-10
280,Florida,South,29,48,46,8-Oct,RMG Research-5
279,Florida,South,29,49,44,6-Oct,Redfield and Wilton Strategies-3
277,Florida,South,29,51,40,5-Oct,Quinnipiac U.-5
277,Florida,South,29,49,45,7-Oct,Ipsos-9
276.5,Florida,South,29,45,45,4-Oct,Suffolk U.-4
276.5,Florida,South,29,51,45,4-Oct,U. of North Florida-4
274.5,Florida,South,29,47,42,1-Oct,Siena Coll.-2
273.5,Florida,South,29,50,44,2-Oct,St. Leo University-6
268,Florida,South,29,48,43,25-Sep,Redfield and Wilton Strategies-3
265.5,Florida,South,29,50,47,22-Sep,St. Pete polls-2
261.5,Florida,South,29,47,51,20-Sep,Langer Research-6
260.5,Florida,South,29,48,46,18-Sep,YouGov-4
257.5,Florida,South,29,47,47,16-Sep,Ipsos-6
257,Florida,South,29,47,44,14-Sep,Redfield and Wilton Strategies-3
255.5,Florida,South,29,50,50,12-Sep,Florida Atlantic U.-2
255.5,Florida,South,29,50,45,13-Sep,Monmouth U.-4
251.5,Florida,South,29,50,47,8-Sep,St. Pete polls-2
249.5,Florida,South,29,43,42,13-Sep,Kaiser/Cook-16
247.5,Florida,South,29,48,46,8-Sep,Benenson Strategy/GS Strategy-10
247,Florida,South,29,48,48,6-Sep,Marist Coll.-7
245,Florida,South,29,47,44,3-Sep,Redfield and Wilton Strategies-5
243,Florida,South,29,48,45,1-Sep,Quinnipiac U.-5
238.5,Florida,South,29,49,47,30-Aug,Morning Consult-10
236.5,Florida,South,29,50,43,26-Aug,Opinium-6
234.5,Florida,South,29,48,44,22-Aug,PPP-2
229,Florida,South,29,49,41,16-Aug,Redfield and Wilton Strategies-1
204,Florida,South,29,43,43,23-Jul,Zogby Analytics-3
203.5,Florida,South,29,50,46,23-Jul,Mason Dixon-4
203.5,Florida,South,29,49,46,26-Jul,Morning Consult-10
203,Florida,South,29,51,46,24-Jul,SSRS-7
202,Florida,South,29,48,41,21-Jul,Redfield and Wilton Strategies-3
200,Florida,South,29,51,38,20-Jul,Quinnipiac U.-5
195.5,Florida,South,29,50,44,14-Jul,St. Pete polls-2
190.5,Florida,South,29,48,42,10-Jul,YouGov-4
173.5,Florida,South,29,49,40,23-Jun,Fox News-4
166.5,Florida,South,29,45,41,15-Jun,Redfield and Wilton Strategies-2
165,Florida,South,29,47,41,18-Jun,Siena Coll.-11
162,Florida,South,29,51,40,11-Jun,TIPP-3
147.5,Florida,South,29,48,47,27-May,St. Pete Polls-2
145,Florida,South,29,47,44,30-May,Cygnal-13
133,Florida,South,29,45,43,14-May,Redfield and Wilton Strategies-5
131,Florida,South,29,53,47,12-May,Florida Atlantic U.-5
110.5,Florida,South,29,46,43,21-Apr,Fox News-4
109,Florida,South,29,46,42,20-Apr,Quinnipiac U.-5
107.5,Florida,South,29,48,48,17-Apr,St. Pete Polls-2
93,Florida,South,29,46,40,4-Apr,U. of North Florida-5
75,Florida,South,29,45,45,16-Mar,AtlasIntel-3
69,Florida,South,29,45,48,12-Mar,Latino Decisions-7
66,Florida,South,29,49,51,7-Mar,Florida Atlantic U.-3
45,Florida,South,29,49,48,18-Feb,U. of North Florida-9
10.5,Florida,South,29,51,49,12-Jan,Florida Atlantic U.-4
284,Georgia,South,16,48,46,12-Oct,SurveyUSA-5
284,Georgia,South,16,51,44,12-Oct,Quinnipiac U.-5
282.5,Georgia,South,16,47,46,9-Oct,PPP-2
280.5,Georgia,South,16,47,49,11-Oct,Morning Consult-10
275.5,Georgia,South,16,46,48,6-Oct,U. of Georgia.-10
271.5,Georgia,South,16,50,47,29-Sep,Civiqs-4
269,Georgia,South,16,50,47,27-Sep,Quinnipiac U.-5
268.5,Georgia,South,16,45,44,26-Sep,Redfield and Wilton Strategies-4
267.5,Georgia,South,16,46,47,25-Sep,YouGov-4
263,Georgia,South,16,46,48,21-Sep,Monmouth U.-5
262.5,Georgia,South,16,45,45,21-Sep,Siena Coll.-6
259.5,Georgia,South,16,47,47,20-Sep,U. of Georgia-10
258,Georgia,South,16,45,46,16-Sep,Redfield and Wilton Strategies-5
246,Georgia,South,16,47,46,5-Sep,Fabrizio Ward/Hart Research-7
238.5,Georgia,South,16,49,46,30-Aug,Morning Consult-10
238,Georgia,South,16,52,46,30-Aug,HarrisX-11
237.5,Georgia,South,16,47,46,25-Aug,PPP-2
220,Georgia,South,16,46,44,8-Aug,SurveyUSA-3
211.5,Georgia,South,16,46,45,31-Jul,YouGov-4
207,Georgia,South,16,47,48,27-Jul,Monmouth U.-5
205.5,Georgia,South,16,46,45,24-Jul,PPP-2
203.5,Georgia,South,16,47,46,26-Jul,Morning Consult-10
177.5,Georgia,South,16,49,45,26-Jun,PPP-2
173.5,Georgia,South,16,47,45,23-Jun,Fox News-4
164.5,Georgia,South,16,48,46,13-Jun,PPP-2
145,Georgia,South,16,40,44,27-May,TargetSmart-7
138,Georgia,South,16,48,47,18-May,Civiqs-3
117,Georgia,South,16,44,45,27-Apr,Cygnal-3
58.5,Georgia,South,16,43,51,2-Mar,U. of Georgia-8
2,Hawaii,West,4,65,28,2-Jan,Election 2016-1
2,Idaho,West,4,29,58,2-Jan,Election 2016-1
268.5,Illinois,Mid West,20,53,40,26-Sep,Victory Research-4
284.5,Indiana,Mid West,11,42,49,13-Oct,SurveyUSA-6
210.5,Indiana,Mid West,11,38,55,2-Aug,Morning Consult-10
143,Indiana,Mid West,11,39,49,23-May,Victoria Research-3
102.5,Indiana,Mid West,11,39,52,13-Apr,Change Research-4
281.5,Iowa,Mid West,6,49,49,9-Oct,YouGov-4
278.5,Iowa,Mid West,6,48,47,6-Oct,Civiqs-4
277,Iowa,Mid West,6,50,45,5-Oct,Quinnipiac U.-5
268.5,Iowa,Mid West,6,48,46,26-Sep,RABA Research-4
264,Iowa,Mid West,6,46,49,22-Sep,Monmouth U.-5
263,Iowa,Mid West,6,45,42,22-Sep,Siena Coll.-7
259.5,Iowa,Mid West,6,47,47,17-Sep,Selzer-4
246,Iowa,Mid West,6,45,47,5-Sep,Fabrizio Ward/Hart Research-7
214,Iowa,Mid West,6,46,48,3-Aug,Monmouth U.-5
210.5,Iowa,Mid West,6,40,41,30-Jul,RMG Research-4
205.5,Iowa,Mid West,6,47,48,24-Jul,PPP-2
160.5,Iowa,Mid West,6,43,44,10-Jun,Selzer-4
159,Iowa,Mid West,6,46,46,8-Jun,Civiqs-3
155.5,Iowa,Mid West,6,47,48,4-Jun,PPP-2
121.5,Iowa,Mid West,6,46,48,1-May,PPP-2
63.5,Iowa,Mid West,6,41,51,5-Mar,Selzer-4
21.5,Iowa,Mid West,6,44,46,23-Jan,Siena Coll.-4
271.5,Kansas,Mid West,6,42,52,29-Sep,Civiqs-4
220,Kansas,Mid West,6,41,48,9-Aug,SurveyUSA-5
218.5,Kansas,Mid West,6,43,50,6-Aug,PPP-2
152,Kansas,Mid West,6,40,52,1-Jun,Civiqs-3
70.5,Kansas,Mid West,6,40,52,11-Mar,PPP-2
33.5,Kansas,Mid West,6,43,51,6-Feb,DFM Research-8
256,Kentucky,South,8,38,58,14-Sep,Quinnipiac U.-5
214,Kentucky,South,8,41,50,3-Aug,Quinnipiac U.-5
210.5,Kentucky,South,8,35,59,2-Aug,Morning Consult-10
166,Kentucky,South,8,37,57,15-Jun,Civiqs-3
143.5,Kentucky,South,8,36,53,24-May,RMG Research-4
135.5,Kentucky,South,8,39,55,15-May,PPP-2
2,Louisiana,South,8,38,58,2-Jan,Election 2016-1
273.5,Maine,North East,4,51,40,4-Oct,Critical Insights-10
264,Maine,North East,4,50,39,23-Sep,Colby Coll.-7
262.5,Maine,North East,4,51,39,20-Sep,Suffolk U.-4
257.5,Maine,North East,4,55,38,16-Sep,Siena Coll.-6
256,Maine,North East,4,59,38,14-Sep,Quinnipiac U.-5
246,Maine,North East,4,54,40,5-Sep,Fabrizio Ward/Hart Research-7
216,Maine,North East,4,45,38,9-Aug,Critical Insights-13
214,Maine,North East,4,52,37,3-Aug,Quinnipiac U.-5
212,Maine,North East,4,50,39,2-Aug,RMG Research-7
205.5,Maine,North East,4,53,42,24-Jul,PPP-2
203,Maine,North East,4,50,38,24-Jul,Colby College-7
184.5,Maine,North East,4,53,42,3-Jul,PPP-2
62.5,Maine,North East,4,52,42,3-Mar,PPP-2
276,Maryland,South,10,61,30,4-Oct,Goucher College-5
251.5,Maryland,South,10,62,30,11-Sep,OpinionWorks-8
142,Maryland,South,10,59,35,23-May,Gonzales Research-5
47,Maryland,South,10,60,35,19-Feb,Goucher Coll.-7
239,Massachusetts,North East,11,69,31,27-Aug,Emerson Coll.-3
220.5,Massachusetts,North East,11,63,27,9-Aug,MassINC-4
216.5,Massachusetts,North East,11,61,28,7-Aug,YouGov-8
200.5,Massachusetts,North East,11,55,23,20-Jul,MassINC-4
126.5,Massachusetts,North East,11,67,33,6-May,Emerson Coll.-2
120,Massachusetts,North East,11,58,30,1-May,U. of Mass.-5
96.5,Massachusetts,North East,11,69,31,7-Apr,Emerson Coll.-4
284,Michigan,Mid West,16,48,39,12-Oct,EPIC-MRA-5
284,Michigan,Mid West,16,51,43,13-Oct,Ipsos-7
282.5,Michigan,Mid West,16,48,40,11-Oct,Siena Coll.-6
281.5,Michigan,Mid West,16,52,46,9-Oct,YouGov-4
280.5,Michigan,Mid West,16,54,43,7-Oct,Emerson Coll.-2
280.5,Michigan,Mid West,16,51,44,11-Oct,Morning Consult-10
279,Michigan,Mid West,16,50,42,6-Oct,Redfield and Wilton Strategies-3
278,Michigan,Mid West,16,50,43,8-Oct,Baldwin Wallace U.-9
276.5,Michigan,Mid West,16,51,43,6-Oct,Ipsos-8
275.5,Michigan,Mid West,16,48,39,3-Oct,Glengariff Group-4
274.5,Michigan,Mid West,16,50,44,1-Oct,PPP-2
268.5,Michigan,Mid West,16,51,42,26-Sep,Redfield and Wilton Strategies-4
265,Michigan,Mid West,16,52,44,23-Sep,Marist Coll.-5
260.5,Michigan,Mid West,16,46,41,19-Sep,Marketing Resource Grp.-6
259.5,Michigan,Mid West,16,51,45,21-Sep,YouGov-12
259,Michigan,Mid West,16,50,42,22-Sep,Baldwin Wallace U.-15
257.5,Michigan,Mid West,16,49,44,16-Sep,Ipsos-6
257,Michigan,Mid West,16,49,39,14-Sep,Redfield and Wilton Strategies-3
257,Michigan,Mid West,16,53,42,15-Sep,Civiqs-5
256.5,Michigan,Mid West,16,48,40,15-Sep,EPIC-MRA-6
246.5,Michigan,Mid West,16,53,44,3-Sep,Pulse Opinion Research-2
246.5,Michigan,Mid West,16,50,43,8-Sep,Benenson Strategy/GS Strategy-12
246,Michigan,Mid West,16,47,42,3-Sep,Glengariff Group-3
245,Michigan,Mid West,16,51,40,3-Sep,Redfield and Wilton Strategies-5
241.5,Michigan,Mid West,16,48,44,29-Aug,PPP-2
238.5,Michigan,Mid West,16,52,42,30-Aug,Morning Consult-10
230,Michigan,Mid West,16,50,38,18-Aug,Redfield and Wilton Strategies-3
228,Michigan,Mid West,16,49,46,17-Aug,Civiqs-5
214,Michigan,Mid West,16,47,43,6-Aug,YouGov-11
210.5,Michigan,Mid West,16,49,43,29-Jul,PPP-2
209.5,Michigan,Mid West,16,51,40,30-Jul,EPIC-MRA-6
204.5,Michigan,Mid West,16,48,42,24-Jul,YouGov-4
203.5,Michigan,Mid West,16,49,37,24-Jul,Redfield and Wilton Strategies-6
203.5,Michigan,Mid West,16,52,42,26-Jul,Morning Consult-10
203,Michigan,Mid West,16,52,40,24-Jul,SSRS-7
201,Michigan,Mid West,16,49,40,20-Jul,Fox News-3
191.5,Michigan,Mid West,16,51,44,10-Jul,PPP-2
178.5,Michigan,Mid West,16,50,44,27-Jun,PPP-2
167,Michigan,Mid West,16,47,36,16-Jun,Redfield and Wilton Strategies-3
164.5,Michigan,Mid West,16,47,36,17-Jun,Siena Coll.-10
162.5,Michigan,Mid West,16,51,38,12-Jun,TIPP-4
155.5,Michigan,Mid West,16,50,35,7-Jun,Kiaer Research-8
153,Michigan,Mid West,16,53,41,3-Jun,EPIC-MRA-5
150.5,Michigan,Mid West,16,50,44,30-May,PPP-2
139.5,Michigan,Mid West,16,51,45,19-May,PPP-2
133,Michigan,Mid West,16,47,39,14-May,Redfield and Wilton Strategies-5
119.5,Michigan,Mid West,16,50,42,29-Apr,PPP-2
111.5,Michigan,Mid West,16,51,44,21-Apr,PPP-2
110.5,Michigan,Mid West,16,49,41,21-Apr,Fox News-4
108.5,Michigan,Mid West,16,46,38,20-Apr,Ipsos-6
81,Michigan,Mid West,16,47,42,25-Mar,Baldwin Wallace U.-9
78,Michigan,Mid West,16,44,41,20-Mar,Marketing Resource-5
68,Michigan,Mid West,16,44,46,9-Mar,AtlasIntel-3
67,Michigan,Mid West,16,45,41,8-Mar,YouGov-3
66.5,Michigan,Mid West,16,48,41,8-Mar,Monmouth U.-4
46.5,Michigan,Mid West,16,46,43,20-Feb,YouGov-10
46,Michigan,Mid West,16,47,43,18-Feb,Quinnipiac U.-7
43,Michigan,Mid West,16,43,43,18-Feb,Expedition Strategies-13
10.5,Michigan,Mid West,16,50,44,12-Jan,EPIC-MRA-4
5,Michigan,Mid West,16,50,43,7-Jan,Glengariff-5
280.5,Minnesota,Mid West,10,50,44,11-Oct,Morning Consult-10
277.5,Minnesota,Mid West,10,47,40,6-Oct,SurveyUSA-6
266,Minnesota,Mid West,10,48,42,23-Sep,Mason Dixon-3
266,Minnesota,Mid West,10,47,40,24-Sep,Suffolk U.-5
258.5,Minnesota,Mid West,10,51,42,17-Sep,Redfield and Wilton Strategies-6
254.5,Minnesota,Mid West,10,57,41,13-Sep,Langer Research-6
254,Minnesota,Mid West,10,50,41,11-Sep,YouGov-3
253,Minnesota,Mid West,10,50,41,10-Sep,Siena Coll.-3
252.5,Minnesota,Mid West,10,48,44,13-Sep,Morning Consult-10
249.5,Minnesota,Mid West,10,49,40,7-Sep,SurveyUSA-4
247.5,Minnesota,Mid West,10,52,44,4-Sep,PPP-2
238.5,Minnesota,Mid West,10,50,43,30-Aug,Morning Consult-10
222,Minnesota,Mid West,10,51,49,10-Aug,Emerson Coll.-3
204.5,Minnesota,Mid West,10,52,42,23-Jul,PPP-2
203.5,Minnesota,Mid West,10,47,44,26-Jul,Morning Consult-10
201,Minnesota,Mid West,10,51,38,20-Jul,Fox News-3
140,Minnesota,Mid West,10,49,44,20-May,Mason-Dixon Polling-3
58,Mississippi,South,6,41,56,28-Feb,Mason-Dixon-3
274.5,Missouri,Mid West,10,43,52,7-Oct,YouGov-14
260.5,Missouri,Mid West,10,45,53,17-Sep,Missouri Scout-2
246,Missouri,Mid West,10,44,49,3-Sep,We Ask America-3
179,Missouri,Mid West,10,43,50,1-Jul,YouGov-9
147.5,Missouri,Mid West,10,44,48,27-May,We Ask America-2
57.5,Missouri,Mid West,10,42,52,27-Feb,Remington Research-2
283.5,Montana,West,3,46,52,10-Oct,PPP-2
280,Montana,West,3,43,56,7-Oct,Emerson Coll.-3
267,Montana,West,3,44,51,2-Oct,Montana State U.-19
259,Montana,West,3,42,49,16-Sep,Siena Coll.-3
246,Montana,West,3,43,50,5-Sep,Fabrizio Ward/Hart Research-7
214,Montana,West,3,42,53,2-Aug,Emerson Coll.-3
205.5,Montana,West,3,45,50,24-Jul,PPP-2
194,Montana,West,3,45,49,13-Jul,Civiqs-3
191.5,Montana,West,3,42,51,10-Jul,PPP-2
173.5,Montana,West,3,38,52,26-Jun,U. of Montana-10
109.5,Montana,West,3,40,45,27-Apr,Montana State U.-18
48,Montana,West,3,34,46,22-Feb,U. of Montana-11
2,Nebraska,Mid West,5,33,61,2-Jan,Election 2016-1
281.5,Nevada,West,6,52,46,9-Oct,YouGov-4
278,Nevada,West,6,48,42,6-Oct,Siena Coll.-5
265.5,Nevada,West,6,52,41,23-Sep,Fox News-4
261.5,Nevada,West,6,46,41,25-Sep,U. of Nevada-16
253,Nevada,West,6,46,42,10-Sep,Siena Coll.-3
238,Nevada,West,6,44,39,30-Aug,U. of Nevada-11
51,Nevada,West,6,44,41,21-Feb,AtlasIntel-3
6.5,Nevada,West,6,47,39,8-Jan,Fox News-4
284.5,New Hampshire,North East,4,55,43,12-Oct,U. of New Hampshire-4
284,New Hampshire,North East,4,51,41,12-Oct,Suffolk U.-5
276.5,New Hampshire,North East,4,53,41,4-Oct,St. Anselm Coll.-4
